year,round,position,driver_id,points
2021,9,3,sergio_perez,104
2021,9,4,lando_norris,101
2021,9,5,valtteri_bottas,92
2021,9,6,charles_leclerc,62
2021,9,7,carlos_sainz,60
2021,9,8,daniel_ricciardo,40
2021,9,9,pierre_gasly,39
2021,9,10,sebastian_vettel,30
2021,9,11,fernando_alonso,20
2021,9,12,lance_stroll,14
2021,9,13,esteban_ocon,12
2021,9,14,yuki_tsunoda,9
2021,9,15,kimi_raikkonen,1
2021,9,16,antonio_giovinazzi,1
2021,9,17,george_russell,0
2021,9,18,mick_schumacher,0
2021,9,19,nikita_mazepin,0
2021,9,20,nicholas_latifi,0
2021,10,1,max_verstappen,185
2021,10,2,lewis_hamilton,177
2021,10,3,lando_norris,113
2021,10,4,valtteri_bottas,108
2021,10,5,sergio_perez,104
2021,10,6,charles_leclerc,80
2021,10,7,carlos_sainz,68
2021,10,8,daniel_ricciardo,50
2021,10,9,pierre_gasly,39
2021,10,10,sebastian_vettel,30
2021,10,11,fernando_alonso,26
2021,10,12,lance_stroll,18
2021,10,13,esteban_ocon,14
2021,10,14,yuki_tsunoda,10
2021,10,15,kimi_raikkonen,1
2021,10,16,antonio_giovinazzi,1
2021,10,17,george_russell,0
2021,10,18,mick_schumacher,0
2021,10,19,nicholas_latifi,0
2021,10,20,nikita_mazepin,0
2021,11,1,lewis_hamilton,195
2021,11,2,max_verstappen,187
2021,11,3,lando_norris,113
2021,11,4,valtteri_bottas,108
2021,11,5,sergio_perez,104
2021,11,6,carlos_sainz,83
2021,11,7,charles_leclerc,80
2021,11,8,pierre_gasly,50
2021,11,9,daniel_ricciardo,50
2021,11,10,esteban_ocon,39
2021,11,11,fernando_alonso,38
2021,11,12,sebastian_vettel,30
2021,11,13,yuki_tsunoda,18
2021,11,14,lance_stroll,18
2021,11,15,nicholas_latifi,6
2021,11,16,george_russell,4
2021,11,17,kimi_raikkonen,2
2021,11,18,antonio_giovinazzi,1
2021,11,19,mick_schumacher,0
2021,11,20,nikita_mazepin,0
2021,12,1,lewis_hamilton,202.5
2021,12,2,max_verstappen,199.5
2021,12,3,lando_norris,113
2021,12,4,valtteri_bottas,108
2021,12,5,sergio_perez,104
2021,12,6,carlos_sainz,83.5
2021,12,7,charles_leclerc,82
2021,12,8,daniel_ricciardo,56
2021,12,9,pierre_gasly,54
2021,12,10,esteban_ocon,42
2021,12,11,fernando_alonso,38
2021,12,12,sebastian_vettel,35
2021,12,13,yuki_tsunoda,18
2021,12,14,lance_stroll,18
2021,12,15,george_russell,13
2021,12,16,nicholas_latifi,7
2021,12,17,kimi_raikkonen,2
2021,12,18,antonio_giovinazzi,1
2021,12,19,mick_schumacher,0
2021,12,20,nikita_mazepin,0
2021,13,1,max_verstappen,224.5
2021,13,2,lewis_hamilton,221.5
2021,13,3,valtteri_bottas,123
2021,13,4,lando_norris,114
2021,13,5,sergio_perez,108
2021,13,6,charles_leclerc,92
2021,13,7,carlos_sainz,89.5
2021,13,8,pierre_gasly,66
2021,13,9,daniel_ricciardo,56
2021,13,10,fernando_alonso,46
2021,13,11,esteban_ocon,44
2021,13,12,sebastian_vettel,35
2021,13,13,yuki_tsunoda,18
2021,13,14,lance_stroll,18
2021,13,15,george_russell,13
2021,13,16,nicholas_latifi,7
2021,13,17,kimi_raikkonen,2
2021,13,18,antonio_giovinazzi,1
2021,13,19,mick_schumacher,0
2021,13,20,nikita_mazepin,0
2021,13,21,robert_kubica,0
2021,14,1,max_verstappen,226.5
2021,14,2,lewis_hamilton,221.5
2021,14,3,valtteri_bottas,141
2021,14,4,lando_norris,132
2021,14,5,sergio_perez,118
2021,14,6,charles_leclerc,104
2021,14,7,carlos_sainz,97.5
2021,14,8,daniel_ricciardo,83
2021,14,9,pierre_gasly,66
2021,14,10,fernando_alonso,50
2021,14,11,esteban_ocon,45
2021,14,12,sebastian_vettel,35
2021,14,13,lance_stroll,24
2021,14,14,yuki_tsunoda,18
2021,14,15,george_russell,15
2021,14,16,nicholas_latifi,7
2021,14,17,kimi_raikkonen,2
2021,14,18,antonio_giovinazzi,1
2021,14,19,mick_schumacher,0
2021,14,20,robert_kubica,0
2021,14,21,nikita_mazepin,0
2021,15,1,lewis_hamilton,246.5
2021,15,2,max_verstappen,244.5
2021,15,3,valtteri_bottas,151
2021,15,4,lando_norris,139
2021,15,5,sergio_perez,120
2021,15,6,carlos_sainz,112.5
2021,15,7,charles_leclerc,104
2021,15,8,daniel_ricciardo,95
2021,15,9,pierre_gasly,66
2021,15,10,fernando_alonso,58
2021,15,11,esteban_ocon,45
2021,15,12,sebastian_vettel,35
2021,15,13,lance_stroll,24
2021,15,14,yuki_tsunoda,18
2021,15,15,george_russell,16
2021,15,16,nicholas_latifi,7
2021,15,17,kimi_raikkonen,6
2021,15,18,antonio_giovinazzi,1
2021,15,19,mick_schumacher,0
2021,15,20,robert_kubica,0
2021,15,21,nikita_mazepin,0
2021,16,1,max_verstappen,262.5
2021,16,2,lewis_hamilton,256.5
2021,16,3,valtteri_bottas,177
2021,16,4,lando_norris,145
2021,16,5,sergio_perez,135
2021,16,6,carlos_sainz,116.5
2021,16,7,charles_leclerc,116
2021,16,8,daniel_ricciardo,95
2021,16,9,pierre_gasly,74
2021,16,10,fernando_alonso,58
2021,16,11,esteban_ocon,46
2021,16,12,sebastian_vettel,35
2021,16,13,lance_stroll,26
2021,16,14,yuki_tsunoda,18
2021,16,15,george_russell,16
2021,16,16,nicholas_latifi,7
2021,16,17,kimi_raikkonen,6
2021,16,18,antonio_giovinazzi,1
2021,16,19,mick_schumacher,0
2021,16,20,robert_kubica,0
2021,16,21,nikita_mazepin,0
2021,17,1,max_verstappen,287.5
2021,17,2,lewis_hamilton,275.5
2021,17,3,valtteri_bottas,185
2021,17,4,sergio_perez,150
2021,17,5,lando_norris,149
2021,17,6,charles_leclerc,128
2021,17,7,carlos_sainz,122.5
2021,17,8,daniel_ricciardo,105
2021,17,9,pierre_gasly,74
2021,17,10,fernando_alonso,58
2021,17,11,esteban_ocon,46
2021,17,12,sebastian_vettel,36
2021,17,13,lance_stroll,26
2021,17,14,yuki_tsunoda,20
2021,17,15,george_russell,16
2021,17,16,nicholas_latifi,7
2021,17,17,kimi_raikkonen,6
2021,17,18,antonio_giovinazzi,1
2021,17,19,mick_schumacher,0
2021,17,20,robert_kubica,0
2021,17,21,nikita_mazepin,0
2021,18,1,max_verstappen,312.5
2021,18,2,lewis_hamilton,293.5
2021,18,3,valtteri_bottas,185
2021,18,4,sergio_perez,165
2021,18,5,lando_norris,150
2021,18,6,charles_leclerc,138
2021,18,7,carlos_sainz,130.5
2021,18,8,daniel_ricciardo,105
2021,18,9,pierre_gasly,86
2021,18,10,fernando_alonso,60
2021,18,11,esteban_ocon,46
2021,18,12,sebastian_vettel,42
2021,18,13,lance_stroll,26
2021,18,14,yuki_tsunoda,20
2021,18,15,george_russell,16
2021,18,16,kimi_raikkonen,10
2021,18,17,nicholas_latifi,7
2021,18,18,antonio_giovinazzi,1
2021,18,19,mick_schumacher,0
2021,18,20,robert_kubica,0
2021,18,21,nikita_mazepin,0
2021,19,1,max_verstappen,332.5
2021,19,2,lewis_hamilton,318.5
2021,19,3,valtteri_bottas,203
2021,19,4,sergio_perez,178
2021,19,5,lando_norris,151
2021,19,6,charles_leclerc,148
2021,19,7,carlos_sainz,139.5
2021,19,8,daniel_ricciardo,105
2021,19,9,pierre_gasly,92
2021,19,10,fernando_alonso,62
2021,19,11,esteban_ocon,50
2021,19,12,sebastian_vettel,42
2021,19,13,lance_stroll,26
2021,19,14,yuki_tsunoda,20
2021,19,15,george_russell,16
2021,19,16,kimi_raikkonen,10
2021,19,17,nicholas_latifi,7
2021,19,18,antonio_giovinazzi,1
2021,19,19,mick_schumacher,0
2021,19,20,robert_kubica,0
2021,19,21,nikita_mazepin,0
2021,20,1,max_verstappen,351.5
2021,20,2,lewis_hamilton,343.5
2021,20,3,valtteri_bottas,203
2021,20,4,sergio_perez,190
2021,20,5,lando_norris,153
2021,20,6,charles_leclerc,152
2021,20,7,carlos_sainz,145.5
2021,20,8,daniel_ricciardo,105
2021,20,9,pierre_gasly,92
2021,20,10,fernando_alonso,77
2021,20,11,esteban_ocon,60
2021,20,12,sebastian_vettel,43
2021,20,13,lance_stroll,34
2021,20,14,yuki_tsunoda,20
2021,20,15,george_russell,16
2021,20,16,kimi_raikkonen,10
2021,20,17,nicholas_latifi,7
2021,20,18,antonio_giovinazzi,1
2021,20,19,mick_schumacher,0
2021,20,20,robert_kubica,0
2021,20,21,nikita_mazepin,0
2021,21,1,max_verstappen,369.5
2021,21,2,lewis_hamilton,369.5
2021,21,3,valtteri_bottas,218
2021,21,4,sergio_perez,190
2021,21,5,charles_leclerc,158
2021,21,6,lando_norris,154
2021,21,7,carlos_sainz,149.5
2021,21,8,daniel_ricciardo,115
2021,21,9,pierre_gasly,100
2021,21,10,fernando_alonso,77
2021,21,11,esteban_ocon,72
2021,21,12,sebastian_vettel,43
2021,21,13,lance_stroll,34
2021,21,14,yuki_tsunoda,20
2021,21,15,george_russell,16
2021,21,16,kimi_raikkonen,10
2021,21,17,nicholas_latifi,7
2021,21,18,antonio_giovinazzi,3
2021,21,19,mick_schumacher,0
2021,21,20,robert_kubica,0
2021,21,21,nikita_mazepin,0
2021,22,1,max_verstappen,395.5
2021,22,2,lewis_hamilton,387.5
2021,22,3,valtteri_bottas,226
2021,22,4,sergio_perez,190
2021,22,5,carlos_sainz,164.5
2021,22,6,lando_norris,160
2021,22,7,charles_leclerc,159
2021,22,8,daniel_ricciardo,115
2021,22,9,pierre_gasly,110
2021,22,10,fernando_alonso,81
2021,22,11,esteban_ocon,74
2021,22,12,sebastian_vettel,43
2021,22,13,lance_stroll,34
2021,22,14,yuki_tsunoda,32
2021,22,15,george_russell,16
2021,22,16,kimi_raikkonen,10
2021,22,17,nicholas_latifi,7
2021,22,18,antonio_giovinazzi,3
2021,22,19,mick_schumacher,0
2021,22,20,robert_kubica,0
2021,22,21,nikita_mazepin,0
2022,1,1,charles_leclerc,26
2022,1,2,carlos_sainz,18
2022,1,3,lewis_hamilton,15
2022,1,4,george_russell,12
2022,1,5,kevin_magnussen,10
2022,1,6,valtteri_bottas,8
2022,1,7,esteban_ocon,6
2022,1,8,yuki_tsunoda,4
2022,1,9,fernando_alonso,2
2022,1,10,zhou_guanyu,1
2022,1,11,mick_schumacher,0
2022,1,12,lance_stroll,0
2022,1,13,alexander_albon,0
2022,1,14,daniel_ricciardo,0
2022,1,15,lando_norris,0
2022,1,16,nicholas_latifi,0
2022,1,17,nico_hulkenberg,0
2022,1,18,sergio_perez,0
2022,1,19,max_verstappen,0
2022,2,1,charles_leclerc,45
2022,2,2,carlos_sainz,33
2022,2,3,max_verstappen,25
2022,2,4,george_russell,22
2022,2,5,lewis_hamilton,16
2022,2,6,esteban_ocon,14
2022,2,7,sergio_perez,12
2022,2,8,kevin_magnussen,12
2022,2,9,valtteri_bottas,8
2022,2,10,lando_norris,6
2022,2,11,yuki_tsunoda,4
2022,2,12,pierre_gasly,4
2022,2,13,fernando_alonso,2
2022,2,14,zhou_guanyu,1
2022,2,15,mick_schumacher,0
2022,2,16,lance_stroll,0
2022,2,17,nico_hulkenberg,0
2022,2,18,alexander_albon,0
2022,2,19,daniel_ricciardo,0
2022,2,20,nicholas_latifi,0
2022,3,1,charles_leclerc,71
2022,3,2,george_russell,37
2022,3,3,carlos_sainz,33
2022,3,4,sergio_perez,30
2022,3,5,lewis_hamilton,28
2022,3,6,max_verstappen,25
2022,3,7,esteban_ocon,20
2022,3,8,lando_norris,16
2022,3,9,kevin_magnussen,12
2022,3,10,valtteri_bottas,12
2022,3,11,daniel_ricciardo,8
2022,3,12,pierre_gasly,6
2022,3,13,yuki_tsunoda,4
2022,3,14,fernando_alonso,2
2022,3,15,zhou_guanyu,1
2022,3,16,alexander_albon,1
2022,3,17,mick_schumacher,0
2022,3,18,lance_stroll,0
2022,3,19,nico_hulkenberg,0
2022,3,20,nicholas_latifi,0
2022,4,1,charles_leclerc,86
2022,4,2,max_verstappen,59
2022,4,3,sergio_perez,54
2022,4,4,george_russell,49
2022,4,5,carlos_sainz,38
2022,4,6,lando_norris,35
2022,4,7,lewis_hamilton,28
2022,4,8,valtteri_bottas,24
2022,4,9,esteban_ocon,20
2022,4,10,kevin_magnussen,15
2022,4,11,daniel_ricciardo,11
2022,4,12,yuki_tsunoda,10
2022,4,13,pierre_gasly,6
2022,4,14,sebastian_vettel,4
2022,4,15,fernando_alonso,2
2022,4,16,zhou_guanyu,1
2022,4,17,alexander_albon,1
2022,4,18,lance_stroll,1
2022,4,19,mick_schumacher,0
2022,4,20,nico_hulkenberg,0
2022,4,21,nicholas_latifi,0
2022,5,1,charles_leclerc,104
2022,5,2,max_verstappen,85
2022,5,3,sergio_perez,66
2022,5,4,george_russell,59
2022,5,5,carlos_sainz,53
2022,5,6,lewis_hamilton,36
2022,5,7,lando_norris,35
2022,5,8,valtteri_bottas,30
2022,5,9,esteban_ocon,24
2022,5,10,kevin_magnussen,15
2022,5,11,daniel_ricciardo,11
2022,5,12,yuki_tsunoda,10
2022,5,13,pierre_gasly,6
2022,5,14,sebastian_vettel,4
2022,5,15,alexander_albon,3
2022,5,16,fernando_alonso,2
2022,5,17,lance_stroll,2
2022,5,18,zhou_guanyu,1
2022,5,19,mick_schumacher,0
2022,5,20,nico_hulkenberg,0
2022,5,21,nicholas_latifi,0
2022,6,1,max_verstappen,110
2022,6,2,charles_leclerc,104
2022,6,3,sergio_perez,85
2022,6,4,george_russell,74
2022,6,5,carlos_sainz,65
2022,6,6,lewis_hamilton,46
2022,6,7,lando_norris,39
2022,6,8,valtteri_bottas,38
2022,6,9,esteban_ocon,30
2022,6,10,kevin_magnussen,15
2022,6,11,daniel_ricciardo,11
2022,6,12,yuki_tsunoda,11
2022,6,13,pierre_gasly,6
2022,6,14,sebastian_vettel,4
2022,6,15,fernando_alonso,4
2022,6,16,alexander_albon,3
2022,6,17,lance_stroll,2
2022,6,18,zhou_guanyu,1
2022,6,19,mick_schumacher,0
2022,6,20,nico_hulkenberg,0
2022,6,21,nicholas_latifi,0
2022,7,1,max_verstappen,125
2022,7,2,charles_leclerc,116
2022,7,3,sergio_perez,110
2022,7,4,george_russell,84
2022,7,5,carlos_sainz,83
2022,7,6,lewis_hamilton,50
2022,7,7,lando_norris,48
2022,7,8,valtteri_bottas,40
2022,7,9,esteban_ocon,30
2022,7,10,kevin_magnussen,15
2022,7,11,daniel_ricciardo,11
2022,7,12,yuki_tsunoda,11
2022,7,13,fernando_alonso,10
2022,7,14,pierre_gasly,6
2022,7,15,sebastian_vettel,5
2022,7,16,alexander_albon,3
2022,7,17,lance_stroll,2
2022,7,18,zhou_guanyu,1
2022,7,19,mick_schumacher,0
2022,7,20,nico_hulkenberg,0
2022,7,21,nicholas_latifi,0
2022,8,1,max_verstappen,150
2022,8,2,sergio_perez,129
2022,8,3,charles_leclerc,116
2022,8,4,george_russell,99
2022,8,5,carlos_sainz,83
2022,8,6,lewis_hamilton,62
2022,8,7,lando_norris,50
2022,8,8,valtteri_bottas,40
2022,8,9,esteban_ocon,31
2022,8,10,pierre_gasly,16
2022,8,11,fernando_alonso,16
2022,8,12,kevin_magnussen,15
2022,8,13,daniel_ricciardo,15
2022,8,14,sebastian_vettel,13
2022,8,15,yuki_tsunoda,11
2022,8,16,alexander_albon,3
2022,8,17,lance_stroll,2
2022,8,18,zhou_guanyu,1
2022,8,19,mick_schumacher,0
2022,8,20,nico_hulkenberg,0
2022,8,21,nicholas_latifi,0
2022,9,1,max_verstappen,175
2022,9,2,sergio_perez,129
2022,9,3,charles_leclerc,126
2022,9,4,george_russell,111
2022,9,5,carlos_sainz,102
2022,9,6,lewis_hamilton,77
2022,9,7,lando_norris,50
2022,9,8,valtteri_bottas,46
2022,9,9,esteban_ocon,39
2022,9,10,fernando_alonso,18
2022,9,11,pierre_gasly,16
2022,9,12,kevin_magnussen,15
2022,9,13,daniel_ricciardo,15
2022,9,14,sebastian_vettel,13
2022,9,15,yuki_tsunoda,11
2022,9,16,zhou_guanyu,5
2022,9,17,alexander_albon,3
2022,9,18,lance_stroll,3
2022,9,19,mick_schumacher,0
2022,9,20,nico_hulkenberg,0
2022,9,21,nicholas_latifi,0
2022,10,1,max_verstappen,181
2022,10,2,sergio_perez,147
2022,10,3,charles_leclerc,138
2022,10,4,carlos_sainz,127
2022,10,5,george_russell,111
2022,10,6,lewis_hamilton,93
2022,10,7,lando_norris,58
2022,10,8,valtteri_bottas,46
2022,10,9,esteban_ocon,39
2022,10,10,fernando_alonso,28
2022,10,11,pierre_gasly,16
2022,10,12,kevin_magnussen,16
2022,10,13,sebastian_vettel,15
2022,10,14,daniel_ricciardo,15
2022,10,15,yuki_tsunoda,11
2022,10,16,zhou_guanyu,5
2022,10,17,mick_schumacher,4
2022,10,18,alexander_albon,3
2022,10,19,lance_stroll,3
2022,10,20,nicholas_latifi,0
2022,10,21,nico_hulkenberg,0
2022,11,1,max_verstappen,208
2022,11,2,charles_leclerc,170
2022,11,3,sergio_perez,151
2022,11,4,carlos_sainz,133
2022,11,5,george_russell,128
2022,11,6,lewis_hamilton,109
2022,11,7,lando_norris,64
2022,11,8,esteban_ocon,52
2022,11,9,valtteri_bottas,46
2022,11,10,fernando_alonso,29
2022,11,11,kevin_magnussen,22
2022,11,12,daniel_ricciardo,17
2022,11,13,pierre_gasly,16
2022,11,14,sebastian_vettel,15
2022,11,15,mick_schumacher,12
2022,11,16,yuki_tsunoda,11
2022,11,17,zhou_guanyu,5
2022,11,18,alexander_albon,3
2022,11,19,lance_stroll,3
2022,11,20,nicholas_latifi,0
2022,11,21,nico_hulkenberg,0
2022,12,1,max_verstappen,233
2022,12,2,charles_leclerc,170
2022,12,3,sergio_perez,163
2022,12,4,carlos_sainz,144
2022,12,5,george_russell,143
2022,12,6,lewis_hamilton,127
2022,12,7,lando_norris,70
2022,12,8,esteban_ocon,56
2022,12,9,valtteri_bottas,46
2022,12,10,fernando_alonso,37
2022,12,11,kevin_magnussen,22
2022,12,12,daniel_ricciardo,19
2022,12,13,pierre_gasly,16
2022,12,14,sebastian_vettel,15
2022,12,15,mick_schumacher,12
2022,12,16,yuki_tsunoda,11
2022,12,17,zhou_guanyu,5
2022,12,18,lance_stroll,4
2022,12,19,alexander_albon,3
2022,12,20,nicholas_latifi,0
2022,12,21,nico_hulkenberg,0
2022,13,1,max_verstappen,258
2022,13,2,charles_leclerc,178
2022,13,3,sergio_perez,173
2022,13,4,george_russell,158
2022,13,5,carlos_sainz,156
2022,13,6,lewis_hamilton,146
2022,13,7,lando_norris,76
2022,13,8,esteban_ocon,58
2022,13,9,valtteri_bottas,46
2022,13,10,fernando_alonso,41
2022,13,11,kevin_magnussen,22
2022,13,12,daniel_ricciardo,19
2022,13,13,pierre_gasly,16
2022,13,14,sebastian_vettel,16
2022,13,15,mick_schumacher,12
2022,13,16,yuki_tsunoda,11
2022,13,17,zhou_guanyu,5
2022,13,18,lance_stroll,4
2022,13,19,alexander_albon,3
2022,13,20,nicholas_latifi,0
2022,13,21,nico_hulkenberg,0
2022,14,1,max_verstappen,284
2022,14,2,sergio_perez,191
2022,14,3,charles_leclerc,186
2022,14,4,carlos_sainz,171
2022,14,5,george_russell,170
2022,14,6,lewis_hamilton,146
2022,14,7,lando_norris,76
2022,14,8,esteban_ocon,64
2022,14,9,fernando_alonso,51
2022,14,10,valtteri_bottas,46
2022,14,11,kevin_magnussen,22
2022,14,12,sebastian_vettel,20
2022,14,13,daniel_ricciardo,19
2022,14,14,pierre_gasly,18
2022,14,15,mick_schumacher,12
2022,14,16,yuki_tsunoda,11
2022,14,17,zhou_guanyu,5
2022,14,18,alexander_albon,4
2022,14,19,lance_stroll,4
2022,14,20,nicholas_latifi,0
2022,14,21,nico_hulkenberg,0
2022,15,1,max_verstappen,310
2022,15,2,charles_leclerc,201
2022,15,3,sergio_perez,201
2022,15,4,george_russell,188
2022,15,5,carlos_sainz,175
2022,15,6,lewis_hamilton,158
2022,15,7,lando_norris,82
2022,15,8,esteban_ocon,66
2022,15,9,fernando_alonso,59
2022,15,10,valtteri_bottas,46
2022,15,11,kevin_magnussen,22
2022,15,12,sebastian_vettel,20
2022,15,13,daniel_ricciardo,19
2022,15,14,pierre_gasly,18
2022,15,15,mick_schumacher,12
2022,15,16,yuki_tsunoda,11
2022,15,17,zhou_guanyu,5
2022,15,18,lance_stroll,5
2022,15,19,alexander_albon,4
2022,15,20,nicholas_latifi,0
2022,15,21,nico_hulkenberg,0
2022,16,1,max_verstappen,335
2022,16,2,charles_leclerc,219
2022,16,3,sergio_perez,210
2022,16,4,george_russell,203
2022,16,5,carlos_sainz,187
2022,16,6,lewis_hamilton,168
2022,16,7,lando_norris,88
2022,16,8,esteban_ocon,66
2022,16,9,fernando_alonso,59
2022,16,10,valtteri_bottas,46
2022,16,11,pierre_gasly,22
2022,16,12,kevin_magnussen,22
2022,16,13,sebastian_vettel,20
2022,16,14,daniel_ricciardo,19
2022,16,15,mick_schumacher,12
2022,16,16,yuki_tsunoda,11
2022,16,17,zhou_guanyu,6
2022,16,18,lance_stroll,5
2022,16,19,alexander_albon,4
2022,16,20,nyck_de_vries,2
2022,16,21,nicholas_latifi,0
2022,16,22,nico_hulkenberg,0
2022,17,1,max_verstappen,341
2022,17,2,charles_leclerc,237
2022,17,3,sergio_perez,235
2022,17,4,george_russell,203
2022,17,5,carlos_sainz,202
2022,17,6,lewis_hamilton,170
2022,17,7,lando_norris,100
2022,17,8,esteban_ocon,66
2022,17,9,fernando_alonso,59
2022,17,10,valtteri_bottas,46
2022,17,11,daniel_ricciardo,29
2022,17,12,sebastian_vettel,24
2022,17,13,pierre_gasly,23
2022,17,14,kevin_magnussen,22
2022,17,15,lance_stroll,13
2022,17,16,mick_schumacher,12
2022,17,17,yuki_tsunoda,11
2022,17,18,zhou_guanyu,6
2022,17,19,alexander_albon,4
2022,17,20,nyck_de_vries,2
2022,17,21,nicholas_latifi,0
2022,17,22,nico_hulkenberg,0
2022,18,1,max_verstappen,366
2022,18,2,sergio_perez,253
2022,18,3,charles_leclerc,252
2022,18,4,george_russell,207
2022,18,5,carlos_sainz,202
